scan,begin_time,end_time,spectral_window,channel,max,mean,median,min,rms,stddev,var
-1,57556.02930555555,57556.03199074074,1,0,3.5425968170166016,0.0014087173236862,-0.0080328024923801,-4.135820388793945,0.8627117436858547,0.8627366427465825,0.7443145147376443
-1,57555.96134259259,57555.96402777778,1,0,3.7198219299316406,-0.0030829603687032,-0.0041000731289386,-3.190246105194092,0.837688094773213,0.8377056915391625,0.7017508256371066
-1,57555.96134259259,57555.96402777778,1,0,3.7198219299316406,-0.0030829603687032,-0.0041000731289386,-3.190246105194092,0.837688094773213,0.8377056915391625,0.7017508256371066
-1,57556.05162037037,57556.05430555555,1,2,3.994163990020752,-0.0027399957016073,-0.0007450580596923,-3.2984628677368164,0.858585722181939,0.8586151651736212,0.0
-1,57556.05162037037,57556.05430555555,1,2,3.994163990020752,-0.0027399957016073,-0.0007450580596923,-3.2984628677368164,0.858585722181939,0.8586151651736212,0.0
-1,57556.10300925926,57556.10569444444,1,3,6.855015754699707,-0.0033587132861346,-0.007904402911663,-7.355432510375977,0.9620755871344544,0.9620964569936754,0.9256295925597832
-1,57555.972546296296,57555.97523148148,1,4,3.3108816146850586,-0.0077453070091407,-0.0088344402611255,-3.309765577316284,0.8416194771592941,0.8416143307382884,0.7083146817040571
-1,57556.00939814815,57556.012083333335,1,4,3.5011305809021,0.0026012521303497,-0.0073713958263397,-3.979959487915039,0.8392562507240888,0.8392775603475825,0.70438682330299
-1,57556.01226851852,57556.01495370371,1,4,3.093791961669922,0.0047810200529829,0.0020944811403751,-3.528937816619873,0.846355695958241,0.8463677469491185,0.7163383630757272
-1,57555.9924537037,57555.99513888889,1,5,3.2583096027374268,-0.0161887938614511,-0.0119234472513198,-3.302909135818481,0.8410569182884458,0.8409264923247548,0.707157365493616
-1,57556.04738785241,57556.012083333335,1,5,3.905975341796875,0.0030690789559028,0.0062242746353149,-3.442042827606201,0.8403262003180779,0.840345968929782,0.7061813474965342
-1,57556.05736111111,57556.0600462963,1,5,3.4256091117858887,0.0040997181748403,-0.0028425827622413,-3.926506996154785,0.8596839841885978,0.8597001661511211,0.7390843756802652
-1,invalid_time,57556.06578703704,1,5,3.367043972015381,-0.0029807626489091,-0.0001540407538414,-3.532200336456299,0.8660169066111252,var-error,0.7500216887550963
-1,57556.01513888889,57556.01782407407,1,6,3.8114013671875,-0.0112748582243406,-0.0092786848545074,-4.122586250305176,0.8518155039269129,0.851766600115111,0.7255063410716553
-1,57556.018009259256,57556.02069444444,1,6,3.5514605045318604,0.0039361325448327,0.006025280803442,-3.5785961151123047,0.8618194894575486,0.8618365228155601,0.7427621920588154
-1,57556.08680555556,57556.08949074074,1,7,3.650791645050049,0.003639485566437,0.0059772450476884,-3.750223398208618,0.8679485542986699,0.8679650341866627,0.7533633005706545
-1,57556.10865740741,57556.111342592594,1,7,3.789360761642456,-0.0066358156802856,-0.0109721031039953,-4.474396228790283,0.9105201331996076,0.9105212447748572,0.8290489371863553
-1,57556.111461926484,57556.076157407406,1,8,3.614543437957764,0.0010577336965457,0.0097995121031999,-3.986100673675537,0.8717021030854687,0.8717277820325339,0.7599093259673608
-1,57556.07921296296,57556.08189814815,1,8,4.171773910522461,-0.0020071673075947,-0.0083736963570117,-5.046439170837402,0.91537469404443,0.9154001327664172,0.837957403068774
-1,57556.06782407408,57556.07050925926,1,10,3.9414451122283936,0.0089911179048889,-0.002882236149162,-4.091955661773682,0.8680706229925695,0.868056821020636,0.7535226445204524
-1,57556.07634259259,57556.07902777778,1,10,5.065515518188477,-0.0025485538918039,-0.002453438937664,-5.3560099601745605,0.9097423117270192,0.909766211159348,0.8276745589672353
