scan,begin_time,end_time,spectral_window,channel,max,mean,median,min,rms,stddev,var
4.0,56677.18069444445,56677.18300925926,0,8,7.880716323852539,0.0229980630251062,0.0162083283066749,-7.959371566772461,1.2897675996541391,1.2896156663530942,1.6631085669033352
4.0,56677.18069444445,56677.18300925926,0,10,7.609165191650391,-0.0035924270123299,-0.0104591827839612,-8.0079984664917,1.3064774078486705,1.3065262895604244,1.70701094531253
4.0,56677.18069444445,56677.18300925926,0,13,8.418160438537598,-0.0256731805116236,-0.0413679257035255,-7.93452262878418,2.007672959139569,2.007592177630168,4.030426351681841
4.0,56677.18069444445,56677.18300925926,0,15,8.117660522460938,0.0052386313748645,0.0039168074727058,-8.15231704711914,1.2995671783150442,1.2996101511226872,1.688986544901134
4.0,56677.18069444445,56677.18300925926,0,26,8.559898376464844,0.0233387274530409,0.005422718822956,-7.251379013061523,1.2713470970130183,1.271185232439506,1.6159118951722808
4.0,56677.18069444445,56677.18300925926,0,28,7.861154079437256,0.0134475718695869,0.0070608556270599,-8.156554222106934,1.4532121483932186,1.453209938804052,2.111819126238877
4.0,56677.18069444445,56677.18300925926,0,30,7.97614860534668,-0.0053005009463575,-0.0151788592338562,-7.047845840454102,1.2851238640536222,1.2851658782567774,1.6516513346355142
4.0,56677.18069444445,56677.18300925926,0,31,8.246997833251953,-0.0084277468736558,-0.0147355645895004,-8.024497985839844,1.3022374272743806,1.3022637922312743,1.69589098455658
4.0,56677.18069444445,56677.18300925926,0,33,7.973513603210449,0.0098242020227713,-0.0049713589251041,-7.704695224761963,1.2864355874267264,1.286451068138064,1.6549563507135656
4.0,56677.18069444445,56677.18300925926,0,38,7.728832721710205,-0.004762498339775,-0.006743848323822,-8.289003372192383,1.301100152831415,1.3011450224252992,1.6929783693821323
4.0,56677.18069444445,56677.18300925926,0,50,7.924350738525391,-0.003387375175078,-0.0094919726252555,-8.754422187805176,1.2802131294269272,1.2802613955312327,1.639069240887579
4.0,56677.18069444445,56677.18300925926,0,53,7.962067604064941,-0.0051283225531577,-0.0090549662709236,-8.474359512329102,1.2900908285082713,1.290133763505542,1.664445127736974
4.0,56677.18069444445,56677.18300925926,0,58,8.347129821777344,0.0104898097266671,0.0034322440624237,-8.057839393615723,1.328930312206007,1.3289436465206927,1.766091215627716
4.0,56677.18069444445,56677.18300925926,0,59,7.734896183013916,-0.0168869311357425,-0.0210851654410362,-7.433540344238281,1.256407325365232,1.2563455882179857,1.5784042370347966
4.0,56677.18069444445,56677.18300925926,0,64,8.139822959899902,-0.0029544743280722,-0.016450822353363,-7.285429000854492,1.261657113645557,1.2617056030977296,1.5919010288882054
