scan,begin_time,end_time,spectral_window,channel,max,mean,median,min,rms,stddev,var
4.0,57578.82356481482,57578.82606481481,0,5,4.370903015136719,-0.0073044277463054,-0.0119923055171966,-391.737699508667,0.8966622434999161,0.8966649796379247,0.8040080857090799
4.0,57578.82356481482,57578.82606481481,0,8,3.9595460891723633,-0.0028017458930422,-0.0062799528241157,-4.82668924331665,0.8887940947006313,0.8888218829922776,0.7900043396859381
4.0,57578.82356481482,57578.82606481481,0,11,3.655338048934937,0.0042976049553818,-0.0013120621442794,-6.147854804992676,0.8906307176750949,0.8906526194977131,0.7932620886181381
4.0,57578.82356481482,57578.82606481481,0,12,3.464601993560791,-0.0021846520636851,-0.0023495182394981,-4.648080825805664,0.8904334487436455,0.8904630324879261,0.7929244122275934
4.0,57578.82356481482,57578.82606481481,0,14,3.6378679275512695,0.0011375395738793,-0.0073609687387943,-3.619020938873291,0.889435838960054,0.8894673391957906,0.7911521474960396
4.0,57578.82356481482,57578.82606481481,0,16,3.6328418254852295,-0.0099855815559842,-0.0179080441594123,-4.151710510253906,0.8970490468767641,0.8970259689883603,0.8046555890395067
4.0,57578.82356481482,57578.82606481481,0,17,3.669099807739258,0.0044098956708161,0.0004781372845172,-4.135665416717529,0.8986532627553411,0.8986750037887887,0.8076167624347795
4.0,57578.82356481482,57578.82606481481,0,23,3.7882909774780273,-0.0091440918878989,-0.0118161961436271,-3.3741259574890137,0.8885153182352822,0.8885004567340377,0.7894330616165935
4.0,57578.82356481482,57578.82606481481,0,25,4.191470146179199,0.0009740667165918,-0.0067479573190212,-3.5403897762298584,0.8963273474552381,0.8963592955552678,0.803459986728336
4.0,57578.82356481482,57578.82606481481,0,26,4.011069297790527,0.0009749689506555,-0.0087089650332927,-3.867636203765869,0.8989413624586974,0.8989734058355593,0.8081531843995852
4.0,57578.82356481482,57578.82606481481,0,28,3.630792856216431,8.02881918523357e-05,-0.0025916807353496,-3.702765941619873,0.8969611930059952,0.8969936897727951,0.8045976794922135
4.0,57578.82356481482,57578.82606481481,0,29,3.352262020111084,-0.0028693548818051,-0.0115258954465389,-4.389679908752441,0.8942620972813811,0.8942898963173981,0.7997544186553827
4.0,57578.82356481482,57578.82606481481,0,31,4.142283916473389,0.0012779215946658,-0.0003421977162361,-4.529331207275391,0.9138502254643625,0.9138824442283592,0.8351811218688
4.0,57578.82356481482,57578.82606481481,0,37,3.7083663940429688,-0.0034349655186541,-0.0176973938941955,-3.772181272506714,0.9047211893811932,0.9047474498693908,0.8185679480451661
4.0,57578.82356481482,57578.82606481481,0,40,3.571469783782959,-0.0040171699292715,-0.0063002333045005,-4.085299491882324,0.901447513999102,0.9014712255801158,0.8126503705489161
4.0,57578.82356481482,57578.82606481481,0,43,3.8018441200256334,0.0031812368914741,-0.0057887732982635,-4.0136308670043945,0.9013291056788842,0.9013561500041548,0.8124429091503125
4.0,57578.82356481482,57578.82606481481,0,45,3.687474012374878,0.0057911275996678,0.000423502177,-4.517565727233887,0.9048860438754374,0.90490029937191,0.8188445518033722
4.0,57578.82356481482,57578.82606481481,0,48,3.7549662590026855,-0.004499090560037,-0.0071814805269241,-3.4408087730407715,0.9055483119554084,0.9055699464339996,0.8200569278844766
4.0,57578.82356481482,57578.82606481481,0,54,3.4720458984375,0.0004358446067603,-0.0089536532759666,-4.079031467437744,0.9142856819039564,0.9143187061087876,0.8359786963404476
4.0,57578.82356481482,57578.82606481481,0,70,4.0376739501953125,-0.0049218631372786,-0.0064705684781074,-3.942416429519653,0.9100698048682166,0.9100894703504628,0.8282628440427857
4.0,57578.82356481482,57578.82606481481,0,72,3.9874014854431152,-0.0227382429762054,-0.0306942388415336,-3.4733996391296387,0.9106983973950696,0.9104474776725714,0.8289146096003474
4.0,57578.82356481482,57578.82606481481,0,73,4.154196262359619,-0.0077204972366545,-0.0095006003975868,-3.871196746826172,0.9009051056911532,0.9009046659298536,0.8116292170941809
4.0,57578.82356481482,57578.82606481481,0,75,4.344254016876221,-0.0071957035699481,-0.0113413818180561,-3.7154507637023926,0.905198956309004,0.9052031532419444,0.8193927486391591
4.0,57578.82356481482,57578.82606481481,0,77,3.9428365230560303,0.0039771118314356,-0.0010221451520919,-3.947530746459961,0.9069913651705764,0.9070155088864076,0.822677133360469
4.0,57578.82356481482,57578.82606481481,0,81,4.237144470214844,0.0010742831576372,-0.0046768933534622,-3.998373508453369,0.9191135693928756,0.9191462445714986,0.8448298189098892
4.0,57578.82356481482,57578.82606481481,0,82,4.820203304290772,-0.0058946651912064,-0.0085574500262737,-3.806552171707153,0.9049597479692966,0.9049733391143864,0.818976744507842
4.0,57578.82356481482,57578.82606481481,0,85,424.0325927734375,0.0089641813832618,0.0018109865486621,-3.583089828491211,0.9121944830411696,0.9121834869706013,0.8320787139018448
4.0,57578.82356481482,57578.82606481481,0,87,3.8120508193969727,-0.0118526148284529,-0.0146273933351039,-4.249416351318359,0.9107487253530088,0.910704593411519,0.8293828564608402
4.0,57578.82356481482,57578.82606481481,0,90,4.995526313781738,-0.0005365542019886,-0.0030464651063084,-3.7285470962524414,0.9115668454214062,0.9115997170853638,0.8310140441901153
4.0,57578.82356481482,57578.82606481481,0,94,4.282167434692383,-0.0137031879608074,-0.0144186541438102,-3.954205513000488,0.9092118309676294,0.9091415017964848,0.8265382702887675
4.0,57578.82356481482,57578.82606481481,0,95,4.24051570892334,-0.0011354467765414,-0.0070852120406925,-4.737497806549072,0.8934631355362731,0.8934947876376367,0.7983329355356255
4.0,57578.82356481482,57578.82606481481,0,96,4.193613529205322,-0.0026069524467828,-0.0026159659028053,-3.336334705352783,0.8929023386758913,0.892930886142281,0.7973255674268392
4.0,57578.82356481482,57578.82606481481,0,98,3.903881311416626,0.0038628078966765,-0.0039273425936698,-4.035379409790039,0.897541200124502,0.8975654088490658,0.8056236631623906
4.0,57578.82356481482,57578.82606481481,0,100,3.489555835723877,-0.0124748805688316,-0.0200001765042543,-3.364492893218994,0.9018709949826093,0.9018173883264106,0.813274601887868
4.0,57578.82356481482,57578.82606481481,0,102,4.305078029632568,0.0038217306231229,0.002778336405754,-3.359625816345215,0.8938309636564143,0.8938551800241746,0.7989770828560497
4.0,57578.82356481482,57578.82606481481,0,107,4.128778457641602,-0.0020111049269663,-0.0054371058940887,-3.706096172332764,0.9028556604842712,0.9028861344785136,0.8152033718335526
4.0,57578.82356481482,57578.82606481481,0,116,3.400408267974853,0.0054004606905568,0.0045202076435089,-3.428983449935913,0.9036328941226596,0.9036494978715892,0.8165824150035752
4.0,57578.82356481482,57578.82606481481,0,117,3.3975038528442383,0.0063575235664493,0.0039139091968536,-3.910844802856445,0.9017236068311416,0.9017338670790026,0.8131239670372523
4.0,57578.82356481482,57578.82606481481,0,125,3.775048971176148,-0.014010338172573,-0.0156940966844558,-3.919001340866089,0.90859544066619,0.9085203341061489,0.8254091974843482
4.0,57578.82356481482,57578.82606481481,0,127,5.265149116516113,0.0081549635118521,-0.0004667751491069,-3.985363006591797,0.9024072837385178,0.9024031315532052,0.8143314118370316
5.0,57578.82625,57578.82875,0,0,5.45075273513794,0.006033503874205,0.0027856156229972,-4.266307830810547,0.9672019108460432,0.9672096639166632,0.9354945339737843
5.0,57578.82625,57578.82875,0,1,6.327469825744629,0.004657344948091,0.0022935904562473,-4.736533164978027,0.9747720078036658,0.9747876618681772,0.9502109857304278
5.0,57578.82625,57578.82875,0,5,4.699732303619385,-0.0077560969018939,-0.0153062976896762,-5.109750747680664,0.9597692404398842,0.959764268116216,0.921147450352656
5.0,57578.82625,57578.82875,0,13,451.1395454406738,0.0088443102551481,0.0059511810541152,-4.490570068359375,0.9592889228544113,0.9592745053128034,0.9202075765431236
5.0,57578.82625,57578.82875,0,14,5.137782096862793,0.0158487178615017,0.0109857115894556,-4.9864606857299805,0.9550396351370388,0.954934357534558,0.9118996271999392
5.0,57578.82625,57578.82875,0,29,4.380917549133301,0.0065258280856657,0.0063106566667556,-5.292768478393555,0.974275929612125,0.974280840265164,0.9492231557077938
5.0,57578.82625,57578.82875,0,30,4.631167411804199,0.0023209460295614,-0.0019500106573104,-6.100700378417969,0.9945722959605908,0.9945969123292604,0.9892230180148984
5.0,57578.82625,57578.82875,0,38,4.676597595214844,-0.0072793793875294,-0.0113034844398498,-5.163074970245361,0.9733289502451976,0.9733284693385572,0.9473683092249386
5.0,57578.82625,57578.82875,0,39,6.592113494873047,0.0069715688364313,0.0030611678957939,-5.88643741607666,0.982650563088065,0.982652828659194,0.965606581671915
5.0,57578.82625,57578.82875,0,40,5.354372978210449,0.0137297582850522,0.0109411086887121,-4.855906486511231,0.9952088936049076,0.9951415216444924,0.990306648100916
5.0,57578.82625,57578.82875,0,41,5.305622577667236,-0.0037940067454026,-0.0047238459810614,-5.286481380462647,0.9869410742570044,0.9869608964373612,0.9740918110964396
5.0,57578.82625,57578.82875,0,44,5.583054542541504,-0.0042433840175578,-0.0106511674821376,-4.534079551696777,0.999427744698373,0.9994461940389452,0.9988926947789328
5.0,57578.82625,57578.82875,0,45,6.145553112030029,-0.0045318520520072,-0.0090180728584527,-4.684667110443115,0.9855876467459526,0.9856043051002956,0.9714158462322364
5.0,57578.82625,57578.82875,0,47,4.743935585021973,-0.0031677893725745,-0.0040167160332202,-4.961970329284668,0.9807195020306168,0.980741329745072,0.961853555870132
5.0,57578.82625,57578.82875,0,48,4.519834995269775,0.0043970087501681,0.0016968362033367,-4.401140213012695,0.983072033727128,0.983089208693474,0.9664643922495608
5.0,57578.82625,57578.82875,0,50,5.129401683807373,0.008115480846142,-0.0009069442749023,-4.554285049438477,0.9986862024033883,0.9986806646822592,0.997363070010199
5.0,57578.82625,57578.82875,0,55,6.650890827178955,0.0052025173143944,0.0046934746205806,-5.723856925964356,1.0028043010884815,1.0028183560824782,1.005644655295964
5.0,57578.82625,57578.82875,0,70,5.714463233947754,0.0072297151755172,0.0033179372549057,-5.098280429840088,1.006615658864649,1.0066173506016598,1.013278490532305
5.0,57578.82625,57578.82875,0,72,4.7199225425720215,-1.2653120486353156e-05,-0.0048986095935106,-5.707139015197754,0.994439371440989,0.9944666922492922,0.9889640019932484
5.0,57578.82625,57578.82875,0,75,5.911654949188232,0.0151253091296754,0.0047574937343597,-5.970473289489746,0.991318264483582,0.9912301004701464,0.9825371120780568
5.0,57578.82625,57578.82875,0,81,5.797774314880371,-0.0086154075912813,-0.010821659117937,-4.273418426513672,0.9786783293195292,0.9786672942516704,0.957789672837886
5.0,57578.82625,57578.82875,0,82,4.87319803237915,-0.0108100594363717,-0.015647230669856,-5.982605934143066,0.976819841205712,0.9767868593278808,0.9541125685556252
5.0,57578.82625,57578.82875,0,89,420.7613945007324,-0.0020613339326886,-0.0112911313772201,-4.4601216316223145,0.964287552000915,0.9643118412142696,0.929897327106055
5.0,57578.82625,57578.82875,0,91,4.282511234283447,0.0040076169124957,-0.0087761841714382,-4.691817760467529,0.9645799890688952,0.9645981639647644,0.9304496179241942
5.0,57578.82625,57578.82875,0,94,5.055963516235352,-0.000246091845476,-0.0024182200431823,-4.945741176605225,0.9735981239593576,0.9736248411602308,0.9479453313242844
5.0,57578.82625,57578.82875,0,98,4.966339111328125,0.0180233050493912,0.0142043679952621,-3.751785755157471,0.9628487895456658,0.9627065364349005,0.9268038752944822
5.0,57578.82625,57578.82875,0,99,4.4647626876831055,0.0156039980279313,0.0091041773557662,-4.305291175842285,0.9611499029263342,0.9610496341472916,0.9236163992946432
5.0,57578.82625,57578.82875,0,103,4.261011123657227,0.0113402645161457,0.0077272225171327,-3.9825844764709473,0.964063374960862,0.964023159480522,0.9293406520148078
5.0,57578.82625,57578.82875,0,105,5.5214009284973145,-0.0149666464909563,-0.0190855786204338,-3.953886032104492,0.9688746642844068,0.968785674454953,0.938545683029138
5.0,57578.82625,57578.82875,0,106,4.311857223510742,-0.0045088306971017,-0.0083789890632033,-4.318723201751709,0.9467854838471524,0.9468007590603096,0.8964316773571784
5.0,57578.82625,57578.82875,0,109,4.283332824707031,0.0024243192359866,-0.0005574710667133,-4.226970672607422,0.9508519760976571,0.950875008834641,0.9041632824262786
5.0,57578.82625,57578.82875,0,110,4.198077201843262,0.0006031079164573,-5.7220458984375e-05,-4.575559616088867,0.9569325356590505,0.956958636037826,0.9157698310873764
5.0,57578.82625,57578.82875,0,112,5.421180725097656,0.0039985660255815,-0.0001348461955785,-4.239691734313965,0.9709020447943262,0.9709204849120748,0.9426865880218988
5.0,57578.82625,57578.82875,0,115,4.61603307723999,-3.157026060240159e-05,-0.0111802592873573,-4.365114688873291,0.9570133556039848,0.9570396477424308,0.9159248873509556
5.0,57578.82625,57578.82875,0,116,4.023539066314697,-0.0007184462416865,-0.0021603852510452,-4.903846263885498,0.968416631339188,0.9684429707812876,0.937881787655686
5.0,57578.82625,57578.82875,0,118,4.061870574951172,-0.0044245101565976,-0.0050759594887495,-4.808037757873535,0.9681439926766018,0.9681604805883852,0.937334716173133
5.0,57578.82625,57578.82875,0,119,4.2847089767456055,-0.0056176836422777,-0.0130800679326057,-4.48095703125,0.9524942412116174,0.9525038429416052,0.907263570818526
5.0,57578.82625,57578.82875,0,121,5.354204654693604,-0.006789398006839,-0.0088412389159202,-4.4118194580078125,0.9674405208011156,0.9674432753365976,0.9359464909940036
5.0,57578.82625,57578.82875,0,123,4.596623420715332,0.0021572294466422,-0.0016903057694435,-4.916224479675293,0.9676343751064758,0.967658554847525,0.9363630787696008
5.0,57578.82625,57578.82875,0,124,4.00337028503418,0.0047099798246142,0.0012743100523948,-4.562382221221924,0.966565230630542,0.9665803096909268,0.9342774950822084
5.0,57578.82625,57578.82875,0,125,4.440639019012451,0.0120534767755972,0.0061714127659797,-3.8143739700317374,0.9656539502294706,0.9656052483821964,0.9323934957032436
5.0,57578.82625,57578.82875,0,126,4.512985229492188,0.004009830464742,0.0008951518684625,-4.707551002502441,0.9785834986208876,0.9786021683172044,0.9576622038351338
5.0,57578.82625,57578.82875,0,128,4.758535385131836,-0.0033384943015331,-0.0096587389707565,-4.831516265869141,0.9741630894561232,0.9741841325332412,0.949034724079544
6.0,57578.82893518519,57578.83143518519,0,1,4.734610557556152,0.0033160410377268,-0.0074588386341929,-4.594636917114258,0.9954651080146172,0.9954869338063088,0.990994235379086
6.0,57578.82893518519,57578.83143518519,0,3,5.125907897949219,-0.0021636289385259,-0.0074278563261032,-5.582515716552734,1.0277210666558296,1.0277470243394249,1.056263946038542
6.0,57578.82893518519,57578.83143518519,0,7,6.09431266784668,-0.0162861826156961,-0.0219260081648826,-5.544048309326172,1.014968327888691,1.0148655367315158,1.0299520576453478
6.0,57578.82893518519,57578.83143518519,0,8,4.109612464904785,-0.017210604513146,-0.0190964117646217,-6.433249473571777,0.9948011258973432,0.994679565048966,0.989387437126
6.0,57578.82893518519,57578.83143518519,0,13,4.6691999435424805,-0.0044504032935435,-0.0060443393886089,-4.681041240692139,1.0096356683007697,1.0096535978373786,1.019400387625963
6.0,57578.82893518519,57578.83143518519,0,15,4.781058311462402,0.0121642240218736,0.011540095321834,-4.89112663269043,1.0140624047540423,1.0140173019249443,1.0282310886031445
6.0,57578.82893518519,57578.83143518519,0,17,5.352725028991699,0.0039725706915391,5.6430697441101074e-05,-6.71199893951416,1.0255455149266632,1.0255659960658488,1.0517856122865363
6.0,57578.82893518519,57578.83143518519,0,19,5.191840171813965,-0.0064718732742879,-0.016218826174736,-4.895157337188721,1.0145661604348697,1.0145733916044912,1.0293591669518405
6.0,57578.82893518519,57578.83143518519,0,20,5.029062747955322,-0.009318490226492,-0.0108193308115005,-4.745160102844238,1.015529664667131,1.0155148097214994,1.031270328763693
6.0,57578.82893518519,57578.83143518519,0,23,4.076351165771484,0.0064312766225763,0.0015642419457435,-4.885221481323242,1.0267640605762127,1.026772127202806,1.0542610012005749
6.0,57578.82893518519,57578.83143518519,0,24,5.00827169418335,0.0060488310227027,0.0054843947291374,-534.1615676879883,1.022683198403233,1.0226934061934392,1.0459018030715386
6.0,57578.82893518519,57578.83143518519,0,25,5.383993148803711,0.0045610378164244,0.0041805040091276,-5.091035842895508,1.026756468930465,1.0267745468827254,1.0542659701262262
6.0,57578.82893518519,57578.83143518519,0,31,6.109529495239258,-0.0056596123124728,-0.0095947170630097,-5.138041973114014,1.052649443688237,1.052663148725535,1.1080997046847578
