scan,begin_time,end_time,spectral_window,channel,max,mean,median,min,rms,stddev,var
5.0,58566.067453703705,58566.06995370371,0,1,6.266034126281738,-0.0036644355946578,-0.010770596563816,-6.580029487609863,1.112040375258638,1.1120687824889266,1.2366969769864036
5.0,58566.067453703705,58566.06995370371,0,4,3.632672786712648,0.0018209981475157,-0.004666369408369,-4.256916522979736,0.8697710566556451,0.8697960861448628,0.7565452314729216
5.0,58566.067453703705,58566.06995370371,0,7,3.4925308227539062,-0.0104635868225674,-0.0144106075167655,-3.716022968292236,0.8737355291868948,0.8736999292519684,0.7633515663748945
5.0,58566.067453703705,58566.06995370371,0,8,3.698005437850952,-0.0003181887952875,-0.0084891468286514,-4.004977703094482,0.8565698785589085,0.8565963464518482,0.7337573007546547
5.0,58566.067453703705,58566.06995370371,0,9,3.732868909835816,0.000788209128994,-0.0035529397428035,-3.287558317184448,0.857841454094618,0.857867658341432,0.7359369192282119
5.0,58566.067453703705,58566.06995370371,0,14,4.579180240631104,-0.0031817626074477,-0.0096232127398252,-3.957578659057617,0.8873862860834201,0.8874080630558391,0.7874930703765161
5.0,58566.067453703705,58566.06995370371,0,15,3.938325881958008,-0.0043432359752912,-0.0082539431750774,-3.599717855453491,0.8782912756533483,0.878307736072749,0.7714244792452378
5.0,58566.067453703705,58566.06995370371,0,17,3.5998687744140625,-0.0052652724202773,-0.0066323801875114,-4.365065097808838,0.8672578330803028,0.8672687072350286,0.7521550105491177
5.0,58566.067453703705,58566.06995370371,0,22,4.713137149810791,-0.0033146257996909,-0.0062680630944669,-3.713967800140381,0.8765887418400208,0.8766096218173264,0.768444429062716
5.0,58566.067453703705,58566.06995370371,0,23,3.666305065155029,0.0010135530399671,-0.0066868811845779,-352.7418613433838,0.8681101469115836,0.8681364395936725,0.7536608777503782
5.0,58566.067453703705,58566.06995370371,0,26,4.332619667053223,0.0050068402237588,0.0016687996685504,-3.724119186401367,0.8779861363722222,0.8779990499369319,0.7708823316901551
5.0,58566.067453703705,58566.06995370371,0,28,3.5530357360839844,0.0003255828120546,-0.0014619007706642,-3.6717708110809326,0.8804604371690534,0.8804876438257687,0.7752584909298537
5.0,58566.067453703705,58566.06995370371,0,30,3.614793300628662,-0.000358820894745,-0.0083237662911415,-3.514989852905273,0.878663409123247,0.878690547059719,0.7720970774921083
5.0,58566.067453703705,58566.06995370371,0,31,3.9367990493774414,-0.0044617974515736,-0.0086722075939178,-3.852909564971924,0.8709262949179098,0.8709418370823109,0.7585396835803105
5.0,58566.067453703705,58566.06995370371,0,32,3.452918291091919,-0.0030628480715706,-0.0094679966568946,-3.775527000427246,0.8751180452573607,0.8751397866136685,0.7658696461142174
5.0,58566.067453703705,58566.06995370371,0,34,4.360835075378418,0.0002505561507265,-0.0008899122476577,-3.4650323390960693,0.8761285039547031,0.8761556008281277,0.7676486368624975
5.0,58566.067453703705,58566.06995370371,0,36,3.859771013259888,0.0026760278416735,-4.017353057861328e-05,-3.476511001586914,0.8733038435310405,0.8733267886004424,0.7626996796871618
5.0,58566.067453703705,58566.06995370371,0,38,3.346005439758301,0.0083582839291419,0.0045372545719146,-3.341212034225464,0.8681054924221902,0.8680921369120981,0.7535839581686128
5.0,58566.067453703705,58566.06995370371,0,39,3.558265686035156,0.0042331545903497,0.0017602331936359,-3.1071197986602783,0.8701501498274968,0.8701668001642354,0.7571902601080643
5.0,58566.067453703705,58566.06995370371,0,44,4.99169397354126,0.0019908906486672,-0.0013353116810321,-3.6437971591949454,0.867326247406583,0.8673508224590322,0.7522974492203595
5.0,58566.067453703705,58566.06995370371,0,46,3.54457426071167,-0.0002716529547289,-0.004896031692624,-3.5634493827819824,0.8700240964169972,0.8700509976608927,0.7569887385307146
5.0,58566.067453703705,58566.06995370371,0,52,3.5746002197265625,-0.0040115042736461,-0.0072026718407869,-3.5654661655426025,0.8709210452522342,0.8709387777588198,0.7585343546040269
5.0,58566.067453703705,58566.06995370371,0,57,3.27313232421875,-0.0072175048082991,-0.0117418598383665,-4.400637149810791,0.8772844678425797,0.8772819453635838,0.7696236116609141
5.0,58566.067453703705,58566.06995370371,0,59,4.120328903198242,0.010729148894953,0.0065817944705486,-4.557872772216797,0.868021403712666,0.8679819721211256,0.7533927039272785
5.0,58566.067453703705,58566.06995370371,0,64,5.430163860321045,-0.0074701949542303,-0.0077981352806091,-6.104238510131836,0.8771073601916458,0.8771027103670368,0.769309164533202
5.0,58566.067453703705,58566.06995370371,0,71,7.526996612548828,0.0122289292649701,0.0070549398660659,-6.836907386779785,0.892221263045276,0.8921650817461614,0.7959585330871348
5.0,58566.067453703705,58566.06995370371,0,77,7.286073684692383,0.0034724451426572,-0.0056686922907829,-7.092907905578613,0.8895925430248844,0.8896133220939788,0.7914118628470853
5.0,58566.067453703705,58566.06995370371,0,78,7.526865005493164,-0.0017990018686572,-0.0055952034890651,-6.314123153686523,0.8878373358540138,0.8878630186928188,0.7883007399623247
5.0,58566.067453703705,58566.06995370371,0,79,7.754295349121094,0.0067106173978521,0.0061972960829734,-4.695940017700195,0.8935721828580484,0.8935746686813678,0.7984756885090163
5.0,58566.067453703705,58566.06995370371,0,80,7.110060214996338,0.015544104919879,0.0153989121317863,-6.965627670288086,0.8980498230481595,0.8979431080625581,0.8063018253170467
5.0,58566.067453703705,58566.06995370371,0,81,7.199020385742188,0.0039737900449904,-0.0015945434570312,-6.770279884338379,0.9007062662551923,0.9007254059840674,0.811306256985163
5.0,58566.067453703705,58566.06995370371,0,86,7.941304206848144,0.0010307233297936,-0.0063237249851226,-7.143918514251709,0.897531375056003,0.8975585925009001,0.8056114269721968
5.0,58566.067453703705,58566.06995370371,0,92,7.2467451095581055,0.0051167207909756,0.0048254132270812,-7.410774230957031,0.8935419339104755,0.8935549672853873,0.7984404795603897
5.0,58566.067453703705,58566.06995370371,0,93,7.2156195640563965,0.0170782665714513,0.0164310708642005,-7.169952392578125,0.8919886799231554,0.8918527996509559,0.7954014162452481
5.0,58566.067453703705,58566.06995370371,0,94,7.87823486328125,0.0083568365200274,0.0024438872933387,-7.784036159515381,0.8873454973410044,0.887333627253589,0.7873609660550112
5.0,58566.067453703705,58566.06995370371,0,96,7.670568466186523,0.0080094781618227,0.0018847584724426,-6.531652927398682,0.8949707369310158,0.894962616345411,0.8009580846558232
5.0,58566.067453703705,58566.06995370371,0,98,7.187921524047852,-0.0087790363193937,-0.0132988989353179,-7.060286521911621,0.8907376058609748,0.8907219275793269,0.7933855522706317
5.0,58566.067453703705,58566.06995370371,0,99,724.4585990905762,0.0018738408460364,0.0008850395679473,-5.50003719329834,0.8903480088366235,0.8903736133950702,0.7927651714301938
5.0,58566.067453703705,58566.06995370371,0,102,7.045492172241211,0.015677379662248,0.0113341361284255,-5.110414981842041,0.882186307963866,0.8820743111818303,0.7780550904469005
5.0,58566.067453703705,58566.06995370371,0,103,6.933720588684082,0.0002977497794706,-0.0032768882811069,-5.172430992126465,0.8870918097411757,0.8871192319929888,0.7869805317718302
5.0,58566.067453703705,58566.06995370371,0,106,6.471920490264893,-0.0088604237352428,-0.0110818184912204,-5.479172706604004,0.886490851784546,0.8864740249134172,0.7858361968461938
5.0,58566.067453703705,58566.06995370371,0,113,7.44841194152832,0.0041038730509614,-0.0031345188617706,-7.355748176574707,0.88970286502018,0.8897209529301872,0.7916033740830004
5.0,58566.067453703705,58566.06995370371,0,114,7.808305740356445,0.0091803264536814,-2.9802322387695312e-08,-6.022944927215576,0.8901997910099582,0.8901800216803968,0.7924204709989117
