scan,begin_time,end_time,spectral_window,channel,max,mean,median,min,rms,stddev,var
4,57110.01643518519,57110.01893518519,0,0,5.238569259643555,0.0005575796290696,-0.0082203596830368,-5.751206398010254,0.9356419003245292,0.9356707099431778,0.8754796774455704
4,57110.01643518519,57110.01893518519,0,1,7.4322638511657715,0.0105166413409462,0.0066654682159423,-7.020838260650635,1.0263507172358894,1.0263286347284228,1.0533504664635085
4,57110.01643518519,57110.01893518519,0,2,7.4622039794921875,0.0120699603252898,0.0086171627044677,-7.312973499298096,1.2153795399541554,1.215358049232459,1.4770951878341283
4,57110.01643518519,57110.01893518519,0,4,4.140912055969238,-0.0070176070482674,-0.0099488981068134,-4.237916469573975,0.9377979884718562,0.9378007732076482,0.8794702902288628
4,57110.01643518519,57110.01893518519,0,5,478.3904075622559,-0.0047351536816882,-0.0083117112517356,-4.938572883605957,0.9458882679446458,0.9459057084031408,0.8947376091896474
4,57110.01643518519,57110.01893518519,0,7,5.125514984130859,0.0060141477782879,0.0039914548397064,-5.952997207641602,0.9484914073002592,0.9485017131099116,0.8996554997724371
4,57110.01643518519,57110.01893518519,0,8,5.717959880828857,-0.010600637966766,-0.0175503641366958,-8.093732833862305,0.9507966335494769,0.9507669805650056,0.9039578513326976
4,57110.01643518519,57110.01893518519,0,11,7.215676307678223,-0.0065051903740535,-0.0107414666563272,-7.909397125244141,0.9669393616578535,0.966947423553004,0.9349873199157924
4,57110.01643518519,57110.01893518519,0,13,8.820252418518066,0.0055604510556473,-0.0003837049007415,-9.38804817199707,0.964632979614617,0.964646833869073,0.9305435140936268
4,57110.01643518519,57110.01893518519,0,19,6.437754154205322,0.0048149924087154,-0.0008731633424758,-6.81260871887207,1.0026338637451968,1.0026534060671777,1.0053138526981125
4,57110.01643518519,57110.01893518519,0,22,6.355461597442627,0.0023910325149073,-0.0035062581300735,-676.3816833496094,1.0187585584904428,1.0187873610404146,1.0379276870156922
4,57110.01643518519,57110.01893518519,0,24,7.495284557342529,0.0043492978375729,0.0007049515843391,-8.17376708984375,1.0626242275965077,1.0626483042012809,1.129221418421858
4,57110.01643518519,57110.01893518519,0,27,7.325603008270264,0.0129967837562014,0.0091806575655937,-7.218792915344238,1.1060031864033335,1.1059612102153182,1.2231501985009314
4,57110.01643518519,57110.01893518519,0,28,7.247683525085449,0.0153101963053874,0.0088214203715324,-7.944836616516113,1.1110093225042994,1.1109384210063866,1.2341841752681637
4,57110.01643518519,57110.01893518519,0,29,7.57488489151001,0.0115208745542546,0.001803919672966,-8.491170883178711,1.1424631041398698,1.1424405526915866,1.3051704164342577
4,57110.01643518519,57110.01893518519,0,30,7.737595558166504,0.0071044217630956,-0.0047161541879177,-7.393075942993164,1.1349666986213909,1.134979825618076,1.2881792045600382
4,57110.01643518519,57110.01893518519,0,32,9.63741397857666,-0.0051143369927414,-0.0053143091499805,-7.585694313049316,1.1823280398237763,1.182353867546576,1.3979606681023462
4,57110.01643518519,57110.01893518519,0,34,8.617257118225098,0.0121767185532348,0.011299354955554,-7.408896446228027,1.1626969113226369,1.1626694903424173,1.3518003437730963
